,count,word,neighbourhood
355,1607,single,
356,1607,main,
357,1602,wonderful,
358,1597,gardens,
359,1593,washerdryer,
360,1589,restaurant,
361,1585,wireless,
362,1571,additional,
363,1571,hidden,
364,1559,wall,
365,1553,columbia,
366,1553,slope,
367,1548,astoria,
368,1546,plus,
369,1545,staying,
370,1536,hudson,
371,1533,vibrant,
372,1531,empire,
373,1527,airport,
374,1521,oven,
375,1511,keys,
376,1510,sunlight,
377,1509,relax,
378,1507,filled,
379,1502,fort,
380,1500,king,
381,1491,half,
382,1491,attractions,
383,1490,dresser,
384,1488,apple,
385,1483,island,
386,1481,real,
387,1477,keep,
388,1474,true,
389,1473,queens,
390,1472,easily,
391,1452,kids,
392,1446,famous,
393,1437,nightlife,
394,1433,style,
395,1432,water,
396,1430,stocked,
397,1424,ask,
398,1423,offers,
399,1413,wood,
400,1411,airbnb,
401,1411,townhouse,
402,1397,things,
403,1396,decorated,
404,1394,accommodate,
405,1392,even,
406,1386,hotel,
407,1384,accessible,
408,1381,comes,
409,1379,tub,
410,1366,ceiling,
411,1362,four,
412,1361,service,
413,1356,level,
414,1356,prewar,
415,1340,futon,
416,1337,patio,
417,1337,storage,
418,1337,hip,
419,1337,peaceful,
420,1336,greenpoint,
421,1322,quite,
422,1320,roommate,
423,1319,set,
424,1316,surrounded,
425,1314,breakfast,
426,1311,listing,
427,1309,key,
428,1307,summer,
429,1305,greene,
430,1304,quick,
431,1300,treelined,
432,1298,warm,
433,1297,awesome,
434,1286,visit,
435,1266,facing,
436,1262,sharing,
437,1261,cute,
438,1253,speed,
439,1249,explore,
440,1249,along,
441,1244,way,
442,1244,years,
443,1242,washington,
444,1242,museums,
445,1242,contact,
446,1241,call,
447,1238,lounge,
448,1231,eat,
449,1231,feet,
450,1226,several,
451,1226,ground,
452,1225,university,
453,1222,middle,
454,1221,galleries,
455,1218,working,
456,1218,text,
457,1217,theater,
458,1214,hour,
459,1210,office,
460,1205,let,
461,1191,downstairs,
462,1189,rest,
463,1186,sleeping,
464,1178,travel,
465,1175,north,
466,1172,foot,
467,1161,conditioning,
468,1161,anywhere,
469,1160,maker,
470,1159,leave,
471,1157,centrally,
472,1156,original,
473,1154,morning,
474,1153,skyline,
475,1150,tree,
476,1145,could,
477,1141,end,
478,1140,ill,
479,1140,extremely,
480,1137,recently,
481,1135,answer,
482,1128,complete,
483,1127,supermarket,
484,1122,upon,
485,1121,yard,
486,1118,clinton,
487,1110,young,
488,1107,hells,
489,1103,fast,
490,1103,meet,
491,1102,bike,
492,1097,stations,
493,1094,streets,
494,1093,residential,
495,1091,chinatown,
496,1074,another,
497,1071,takes,
498,1070,traveling,
499,1057,able,
500,7,apartment,City Island
501,5,island,City Island
502,5,city,City Island
503,3,cozy,City Island
504,3,studio,City Island
505,3,bath,City Island
506,2,bedroom,City Island
507,2,br,City Island
508,2,home,City Island
509,2,quaint,City Island
510,2,located,City Island
511,1,guest,City Island
512,1,vi,City Island
513,1,comfortable,City Island
514,1,dear,City Island
515,1,spacious,City Island
516,1,private,City Island
517,1,lic,City Island
518,11,private,Allerton
519,9,apartment,Allerton
520,7,spacious,Allerton
521,5,beautiful,Allerton
522,4,bronx,Allerton
523,4,near,Allerton
524,3,studio,Allerton
525,3,apt,Allerton
526,3,great,Allerton
527,3,cozy,Allerton
