city,name,latitude,longitude,url
WashingtonDC,Lincoln Memorial,38.8892728,-77.0523648,http://wallpapercave.com/wp/kgrY8tX.jpg
WashingtonDC,The White House,38.8976805,-77.0387185,http://img.huffingtonpost.com/asset/2000_1000/57420d061600006400f941e3.jpeg?cache=etfckntqmo
WashingtonDC,Vietnam Veterans Memorial,38.897701,-77.0452846,https://washington-org.s3.amazonaws.com/s3fs-public/1057_Vietnam_Washmoument_credit_Michael_Kleinberg-4152.jpg
WashingtonDC,Library of Congress,38.8886882,-77.0069077,https://cdn.loc.gov/service/pnp/highsm/11600/11603r.jpg
WashingtonDC,National World War II Memorial,38.8892381,-77.0431408,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Aerial_view_of_National_World_War_II_Memorial.jpg/220px-Aerial_view_of_National_World_War_II_Memorial.jpg
